Vangipurappu Venkata Sai Laxman,22.31,114.71
Varun Raymond Aaron,11.83,87.65
Veer Pratap Singh,0.5,33.33
Vidyut Sivaramakrishnan,20.5,129.74
Vijay Hari Zol,27.09,122.63
Vijay Shankar,10.58,98.44
Vijaykumar Yo Mahesh,8.6,94.5
Vikram Rajvir Singh,13,125.8
Vikramjeet Malik,12.6,113.17
Vikrant Shyam Yeligati,6,120
Virat Kohli,41.69,133.09
Virender Sehwag,26.89,147.83
Visvajitsinh Dilipsinh Solanki,14.83,136.92
Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas,18.16,110.52
Wasim Jaffer,28,129.14
Wayne Dillon Parnell,18.09,121.52
Wilkin Arvind Mota,15.2,91.56
Wriddhaman Prasanta Saha,24.82,130.64
Xavier Thalaivan Sargunam,10,58.82
Yalaka Gnaneswara Rao,22.57,123.98
Yalaka Venugopal Rao,23.55,121.71
Yashpal Singh,24.94,102.31
Yogesh Nagar,20,109.58
Yogesh Vijay Takawale,29.21,109.44
Yusuf Adam Abdulla,8.66,72.22
Yusuf Khan Pathan,28.41,144.49
Yuvraj Singh,26.45,131.05
Yuzvendra Singh Chahal,6.2,75.6
Zaheer Khan,8.9,89.9
