Batsman_name,avgScore,avgStrikeRate,CLUSTER
Wasim Jaffer,28,129.14,7
Wayne Dillon Parnell,18.09,121.52,0
Wilkin Arvind Mota,15.2,91.56,2
Wriddhaman Prasanta Saha,24.82,130.64,7
Xavier Thalaivan Sargunam,10,58.82,5
Yalaka Gnaneswara Rao,22.57,123.98,0
Yalaka Venugopal Rao,23.55,121.71,0
Yashpal Singh,24.94,102.31,8
Yogesh Nagar,20,109.58,8
Yogesh Vijay Takawale,29.21,109.44,0
Yusuf Adam Abdulla,8.66,72.22,5
Yusuf Khan Pathan,28.41,144.49,3
Yuvraj Singh,26.45,131.05,7
Yuzvendra Singh Chahal,6.2,75.6,5
Zaheer Khan,8.9,89.9,2
